Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
crypto.randomBytes,Y,N,Y,N,Y,4096,buffer,2020148.1614760738,1.1921752907776624e-8,4.950131970861602e-7,2.51968912788375e-9,0.5090145359185609,86,1.285555677491709e-9,1.421281923940804e-16
crypto.randomBytes,Y,N,Y,Y,Y,4096,buffer,2094597.5654549673,8.734049427796784e-9,4.774186776937221e-7,1.7945312293544667e-9,0.37588207441387755,91,9.155771578339116e-10,7.628361940719734e-17
crypto.randomBytes,Y,N,Y,N,N,4096,buffer,1358742.455196505,7.384383483247167e-8,7.359746478631797e-7,1.6181743771657996e-8,2.198682226166334,80,8.255991720233672e-9,5.452911942765357e-15
crypto.randomBytes,Y,N,Y,Y,N,4096,buffer,1410040.127110425,5.980961109867625e-8,7.091996750824997e-7,1.3359238006918533e-8,1.8837061657373828,77,6.815937758631905e-9,3.577189579774897e-15
crypto.randomBytes,Y,N,Y,N,Y,65536,hex,1674859.0039205882,2.765057516050043e-8,5.970651843881505e-7,5.681193018808895e-9,0.9515197280562864,91,2.898567866739232e-9,7.645543067064834e-16
crypto.randomBytes,Y,N,Y,Y,Y,65536,hex,1695844.6676452588,9.556814330168213e-9,5.896766485037429e-7,1.901881057081941e-9,0.3225294849147938,97,9.703474781030313e-10,9.133270014130851e-17
crypto.randomBytes,Y,N,Y,N,N,65536,hex,1334545.789594604,4.4033285449573136e-8,7.493186129670162e-7,9.649219114713996e-9,1.2877324742417335,80,4.923070976894896e-9,1.9389302274835894e-15
crypto.randomBytes,Y,N,Y,Y,N,65536,hex,1387674.731396009,3.856148380428197e-8,7.206299699598869e-7,8.397834250710296e-9,1.1653462388162614,81,4.284609311586886e-9,1.4869880331879008e-15
crypto.randomBytes,Y,N,Y,N,Y,65536,buffer,2012277.8179827651,8.464680876132326e-9,4.96949273635816e-7,1.6932888335315566e-9,0.34073675591534625,96,8.639228742507942e-10,7.165082233476032e-17
crypto.randomBytes,Y,N,Y,Y,Y,65536,buffer,2054544.2811480814,1.0298933837956015e-8,4.867259416970069e-7,2.202463381522857e-9,0.4525058544945851,84,1.1237058068994169e-9,1.0606803819859541e-16
crypto.randomBytes,Y,N,Y,N,N,65536,buffer,1746395.068623757,2.6706961851377025e-8,5.726081217052725e-7,5.711378132424215e-9,0.9974322605511211,84,2.913968434910314e-9,7.132618113309078e-16
crypto.randomBytes,Y,N,Y,Y,N,65536,buffer,1867343.0654358324,2.1078118655091585e-8,5.355202364845599e-7,4.562270067342173e-9,0.8519323372896873,82,2.3276888098684557e-9,4.442870860381198e-16
crypto.randomFillSync,Y,N,Y,Y,Y,,hex,436705.0425821374,5.5075737288792894e-8,0.000002289875093008379,1.1573288109298648e-8,0.5054113276586611,87,5.9047388312748205e-9,3.0333368379041317e-15
crypto.randomFillSync,Y,N,Y,Y,Y,,buffer,478035.9798509594,3.9633098308257114e-8,0.0000020918927489762946,7.969889374505571e-9,0.3809893876445521,95,4.066270089033454e-9,1.5707824815119728e-15
crypto.randomFillSync,Y,N,Y,N,Y,256,hex,1452170.5012551532,8.098919515209801e-9,6.886243723692713e-7,1.6372659413065617e-9,0.237758930267514,94,8.353397659727356e-10,6.559249731384616e-17
crypto.randomFillSync,Y,N,Y,Y,Y,256,hex,1481078.7780899566,1.3326370200557702e-8,6.751835316212078e-7,2.694039866631593e-9,0.39900852737963494,94,1.3745101360365271e-9,1.7759214272231232e-16
crypto.randomFillSync,Y,N,Y,N,Y,256,buffer,1852640.466110853,5.0135499691894776e-9,5.397701379692118e-7,1.0135320636508206e-9,0.1877710514820351,94,5.171081957402146e-10,2.513568329355981e-17
crypto.randomFillSync,Y,N,Y,Y,Y,256,buffer,1871010.1506267658,1.0701722392583316e-8,5.344706439272989e-7,2.175045157618667e-9,0.40695315679761196,93,1.1097169171523812e-9,1.145268621679192e-16
crypto.randomFillSync,Y,N,Y,N,Y,4096,hex,1800747.5863398216,8.81110499605407e-9,5.553249148219536e-7,1.8103633613771308e-9,0.32600074533979145,91,9.236547762128219e-10,7.763557125148899e-17
crypto.randomFillSync,Y,N,Y,Y,Y,4096,hex,1813812.0651477687,7.369801461850114e-9,5.513250348340424e-7,1.4978571106756792e-9,0.2716831299210924,93,7.642128115692241e-10,5.4313973587088077e-17
crypto.randomFillSync,Y,N,Y,N,Y,4096,buffer,2380610.222916351,1.2039718317228927e-8,4.2006036535244164e-7,2.446982837372986e-9,0.582531235795099,93,1.248460631312748e-9,1.4495481715821774e-16
crypto.randomFillSync,Y,N,Y,Y,Y,4096,buffer,2425831.7487452845,5.82963699348705e-9,4.1222974368161805e-7,1.197779532517663e-9,0.2905611617978632,91,6.111120063865628e-10,3.398466747583274e-17
crypto.randomFillSync,Y,N,Y,N,Y,65536,hex,1771544.0310026666,3.0851630253958945e-8,5.644793369510638e-7,6.558805109934353e-9,1.1619212043013991,85,3.346329137721609e-9,9.51823089326995e-16
crypto.randomFillSync,Y,N,Y,Y,Y,65536,hex,1667615.3603622264,1.0938080586557955e-8,5.996586645632647e-7,2.2853664842773604e-9,0.3811112253237945,88,1.1660033083047758e-9,1.1964160691803602e-16
crypto.randomFillSync,Y,N,Y,N,Y,65536,buffer,2223296.0635505775,2.3755922342208305e-8,4.4978265215970015e-7,5.173511976747586e-9,1.1502248812634674,81,2.6395469269120337e-9,5.643438463290316e-16
crypto.randomFillSync,Y,N,Y,Y,Y,65536,buffer,2324216.6922732145,6.4747483581724296e-9,4.3025248176061577e-7,1.3846478079987564e-9,0.3218221548270227,84,7.064529632646716e-10,4.192236630165657e-17
crypto.randomFill,Y,N,Y,Y,N,,hex,88263.48401351203,4.333592741120647e-7,0.000011329713654254942,9.21286492184289e-8,0.8131595557477257,85,4.700441286654536e-8,1.8780026045893564e-13
crypto.randomFill,Y,N,Y,Y,N,,buffer,88404.4914119325,6.345199681044771e-7,0.000011311642474592913,1.356943365773208e-7,1.1995988812597633,84,6.923180437618409e-8,4.0261558992330667e-13
crypto.randomFill,Y,N,Y,N,N,256,hex,612622.3167712237,1.5730960165428955e-7,0.0000016323270841167182,3.4689477386063784e-8,2.1251548003833367,79,1.769871295207336e-8,2.4746310772631257e-14
crypto.randomFill,Y,N,Y,Y,N,256,hex,580499.8288704989,1.9542276552510943e-7,0.0000017226533932761684,4.4228335422427595e-8,2.567454114394624,75,2.256547725634061e-8,3.81900572854819e-14
crypto.randomFill,Y,N,Y,N,N,256,buffer,680960.480575189,2.3151953837547524e-7,0.0000014685140012168208,5.073395574083952e-8,3.4547818882762447,80,2.5884671296346693e-8,5.3601296649593155e-14
crypto.randomFill,Y,N,Y,Y,N,256,buffer,725290.3934857202,9.075485448767956e-8,0.0000013787580932845878,1.9643506276359172e-8,1.4247246396619757,82,1.0022197079775089e-8,8.23644361307989e-15
crypto.randomFill,Y,N,Y,N,N,4096,hex,1042720.4553945642,7.18831042477127e-8,9.590298097888577e-7,1.616129281160544e-8,1.6851710600282117,76,8.245557556941551e-9,5.167180676287532e-15
crypto.randomFill,Y,N,Y,Y,N,4096,hex,1108366.1001735108,4.79929199580217e-8,9.022289655407662e-7,1.0516912283554602e-8,1.1656589053590305,80,5.365771573242144e-9,2.303320366097078e-15
crypto.randomFill,Y,N,Y,N,N,4096,buffer,1373091.8801796304,6.768784182265735e-8,7.282833832424806e-7,1.502171220217497e-8,2.0626191051201728,78,7.664138878660699e-9,4.5816439306090804e-15
crypto.randomFill,Y,N,Y,Y,N,4096,buffer,1383649.3021859208,5.0471084915538784e-8,7.227264874272528e-7,1.1129743769076197e-8,1.5399662199590383,79,5.6784406985082645e-9,2.5473304125515267e-15
crypto.randomFill,Y,N,Y,N,N,65536,hex,1366731.1016264695,3.777009367567642e-8,7.316728205057721e-7,8.17517780580592e-9,1.117326976852139,82,4.171009084594857e-9,1.4265799762693719e-15
crypto.randomFill,Y,N,Y,Y,N,65536,hex,1397643.089172003,3.916161457799244e-8,7.154902476514399e-7,8.476366648349218e-9,1.184693526735334,82,4.324676861402663e-9,1.53363205635523e-15
